Fold,Features,Classifier_Params,AUC
outer_fold_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SizeZoneNonUniformityNormalized']","{'C': 10.0, 'l1_ratio': 0.3}",0.7226890756302521
outer_fold_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 0.1}",0.7058823529411764
outer_fold_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_glrlm_ShortRunEmphasis', 'original_glszm_ZoneEntropy', 'original_shape_Flatness']","{'l1_ratio': 0.5, 'C': 10.0}",0.7088235294117646
outer_fold_4,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis']","{'C': 0.1, 'l1_ratio': 0.5}",0.7441176470588236
outer_fold_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_SmallDependenceEmphasis']","{'C': 0.1, 'l1_ratio': 0.3}",0.8095238095238095
