Fold,Features,Classifier_Params,AUC
outer_fold_1,"['original_shape_Flatness', 'original_shape_LeastAxisLength', 'original_shape_Maximum2DDiameterColumn', 'original_shape_Maximum3DDiameter', 'original_shape_Maximum2DDiameterSlice']","{'n_estimators': 50, 'learning_rate': 0.2, 'subsample': 1.0, 'max_depth': 3}",0.5744047619047619
outer_fold_2,"['original_shape_LeastAxisLength', 'original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn', 'original_shape_MinorAxisLength', 'original_glrlm_RunLengthNonUniformityNormalized']","{'n_estimators': 75, 'max_depth': 5, 'learning_rate': 0.2, 'subsample': 1.0}",0.8452380952380952
outer_fold_3,"['original_shape_LeastAxisLength', 'original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2, 'subsample': 1.0}",0.6794117647058824
outer_fold_4,"['original_shape_LeastAxisLength', 'original_shape_Flatness', 'original_glrlm_RunLengthNonUniformityNormalized', 'original_glrlm_ShortRunEmphasis', 'original_shape_Maximum2DDiameterColumn']","{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0}",0.7235294117647059
outer_fold_5,"['original_shape_LeastAxisLength', 'original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn', 'original_glrlm_ShortRunEmphasis', 'original_shape_Maximum2DDiameterSlice']","{'max_depth': 5, 'learning_rate': 0.2, 'n_estimators': 75, 'subsample': 0.8}",0.7470588235294118
